objectType,title,category
EDMD,Document Compliance:eDoc. Mapping Class determination,exotic
EDOA,Document Compliance Fiori Cockpit Extensibility,exotic
EDOC,Document Compliance Cockpit FlowChart Route,exotic
EDOD,Document Compliance Fiori Cockpit:Dialog Handling Classes,exotic
EDOE,Document Compliance: eDocument Extended,exotic
EDOF,Document Compliance: eDocument File Type,exotic
EDOI,Document Compliance: eDocument Interface,exotic
EDOM,Document Compliance: eDocument Incoming Message,exotic
EDOP,Document Compliance: Process Manager,exotic
EDOR,Document Compliance: eDocument RAL Configuration,exotic
EDOS,Document Compliance Fiori Cockpit:Status Allowed Function,exotic
EDOT,Document Compliance: eDocument Type,exotic
EDOX,Document Compliance: eDocument Fields to be excluded,exotic
EDOY,Document Compliance Fiori Cockpit:Error Analysis Classes,exotic
EEEC,Enterprise Event Enablement - Event Consumer,exotic
EEEP,Enterprise Event Enablement - Event Producer,exotic
EFCL,Form Class,exotic
EFOM,Print Workbench Application Form,exotic
EHVD,Profile for HTML/XML Customer Information,exotic
ELEM,Elements of the Query Builder,exotic
ELEV,Query Designer: Text Verticalization,exotic
ENBC,Switch On/Off BAdI Implementation per IMG,exotic
ENHC,Composite Enhancement Implementation,exotic
ENHO,Enhancement Implementation,exotic
ENHS,Enhancement Spot,exotic
ENQU,Lock Object,exotic
ENSC,Composite Enhancement Spot,exotic
ENVD,Data Environment for CIC Navigation Area,exotic
ENVM,BPC: Environment,exotic
EPDC,IS-U: Master Data Template,exotic
EREL,Report Designer: Reusable Element,exotic
ERPT,BW Enterprise Report,exotic
ESH1,ESH: CDS Search Model,exotic
ESH2,Enterprise Search: CDS Search Model Metadata,exotic
ESH3,Enterprise Search: CDS Search Model Metadata Extension,exotic
ETDC,ETD Configuration,exotic
EVEN,Event- Administration Chains,exotic
EVTB,RAP Event Binding,exotic
EXCC,External operating system command defined by customer,exotic
EXCS,External operating system command delivered by SAP,exotic
F011,Financial statement version,exotic
F01U,Company Code Clearing,exotic
F03,Document Types,exotic
